#Datenpunkte Wolf ISM8i für Firmware 1.5
#
50;Heizgerät 4 (TOB,CGB-2,MGK-2);Status Speicherladepumpe;DPT_Switch;Out/-;-
51;Heizgerät 4 (TOB,CGB-2,MGK-2);Status 3-Wege-Umschaltventil;DPT_OpenClose;Out/-;-
52;Heizgerät 4 (TOB,CGB-2,MGK-2);Anlagendruck;DPT_Value_Pres;Out/-;Pa
#
53;Systembedienmodul;Störung;DPT_Switch;Out/-;-
54;Systembedienmodul;Außentemperatur;DPT_Value_Temp;Out/-;°C
#
55;Direkter Heizkreis + direktes Warmwasser;Raumtemperatur;DPT_Value_Temp;Out/-;°C
56;Direkter Heizkreis + direktes Warmwasser;Warmwassersolltemperatur;DPT_Value_Temp;Out/In;°C
57;Direkter Heizkreis + direktes Warmwasser;Programmwahl Heizkreis;DPT_HVACMode;Out/In;-
58;Direkter Heizkreis + direktes Warmwasser;Programmwahl Warmwasser;DPT_DHWMode;Out/In;-
59;Direkter Heizkreis + direktes Warmwasser;Heizkreis Zeitprogramm 1;DPT_Switch;Out/In;-
60;Direkter Heizkreis + direktes Warmwasser;Heizkreis Zeitprogramm 2;DPT_Switch;Out/In;-
61;Direkter Heizkreis + direktes Warmwasser;Heizkreis Zeitprogramm 3;DPT_Switch;Out/In;-
62;Direkter Heizkreis + direktes Warmwasser;Warmwasser Zeitprogramm 1;DPT_Switch;Out/In;-
63;Direkter Heizkreis + direktes Warmwasser;Warmwasser Zeitprogramm 2;DPT_Switch;Out/In;-
64;Direkter Heizkreis + direktes Warmwasser;Warmwasser Zeitprogramm 3;DPT_Switch;Out/In;-
65;Direkter Heizkreis + direktes Warmwasser;Sollwertkorrektur;DPT_Value_Tempd;Out/In;K
66;Direkter Heizkreis + direktes Warmwasser;Sparfaktor;DPT_Value_Tempd;Out/In;K
#
67;Mischerkreis 1 + Warmwasser 1;Störung;DPT_Switch;Out/-;-
68;Mischerkreis 1 + Warmwasser 1;Raumtemperatur;DPT_Value_Temp;Out/-;°C
69;Mischerkreis 1 + Warmwasser 1;Warmwassersolltemperatur;DPT_Value_Temp;Out/In;°C
70;Mischerkreis 1 + Warmwasser 1;Programmwahl Mischer;DPT_HVACMode;Out/In;-
71;Mischerkreis 1 + Warmwasser 1;Programmwahl Warmwasser;DPT_DHWMode;Out/In;-
72;Mischerkreis 1 + Warmwasser 1;Mischer Zeitprogramm 1;DPT_Switch;Out/In;-
73;Mischerkreis 1 + Warmwasser 1;Mischer Zeitprogramm 2;DPT_Switch;Out/In;-
74;Mischerkreis 1 + Warmwasser 1;Mischer Zeitprogramm 3;DPT_Switch;Out/In;-
75;Mischerkreis 1 + Warmwasser 1;Warmwasser Zeitprogramm 1;DPT_Switch;Out/In;-
76;Mischerkreis 1 + Warmwasser 1;Warmwasser Zeitprogramm 2;DPT_Switch;Out/In;-
77;Mischerkreis 1 + Warmwasser 1;Warmwasser Zeitprogramm 3;DPT_Switch;Out/In;-
78;Mischerkreis 1 + Warmwasser 1;Sollwertkorrektur;DPT_Value_Tempd;Out/In;K
79;Mischerkreis 1 + Warmwasser 1;Sparfaktor;DPT_Value_Tempd;Out/In;K
#
80;Mischerkreis 2 + Warmwasser 2;Störung;DPT_Switch;Out/-;-
81;Mischerkreis 2 + Warmwasser 2;Raumtemperatur;DPT_Value_Temp;Out/-;°C
82;Mischerkreis 2 + Warmwasser 2;Warmwassersolltemperatur;DPT_Value_Temp;Out/In;°C
83;Mischerkreis 2 + Warmwasser 2;Programmwahl Mischer;DPT_HVACMode;Out/In;-
84;Mischerkreis 2 + Warmwasser 2;Programmwahl Warmwasser;DPT_DHWMode;Out/In;-
85;Mischerkreis 2 + Warmwasser 2;Mischer Zeitprogramm 1;DPT_Switch;Out/In;-
86;Mischerkreis 2 + Warmwasser 2;Mischer Zeitprogramm 2;DPT_Switch;Out/In;-
87;Mischerkreis 2 + Warmwasser 2;Mischer Zeitprogramm 3;DPT_Switch;Out/In;-
88;Mischerkreis 2 + Warmwasser 2;Warmwasser Zeitprogramm 1;DPT_Switch;Out/In;-
89;Mischerkreis 2 + Warmwasser 2;Warmwasser Zeitprogramm 2;DPT_Switch;Out/In;-
90;Mischerkreis 2 + Warmwasser 2;Warmwasser Zeitprogramm 3;DPT_Switch;Out/In;-
91;Mischerkreis 2 + Warmwasser 2;Sollwertkorrektur;DPT_Value_Tempd;Out/In;K
92;Mischerkreis 2 + Warmwasser 2;Sparfaktor;DPT_Value_Tempd;Out/In;K
#
93;Mischerkreis 3 + Warmwasser 3;Störung;DPT_Switch;Out/-;-
94;Mischerkreis 3 + Warmwasser 3;Raumtemperatur;DPT_Value_Temp;Out/-;°C
95;Mischerkreis 3 + Warmwasser 3;Warmwassersolltemperatur;DPT_Value_Temp;Out/In;°C
96;Mischerkreis 3 + Warmwasser 3;Programmwahl Mischer;DPT_HVACMode;Out/In;-
97;Mischerkreis 3 + Warmwasser 3;Programmwahl Warmwasser;DPT_DHWMode;Out/In;-
98;Mischerkreis 3 + Warmwasser 3;Mischer Zeitprogramm 1;DPT_Switch;Out/In;-
99;Mischerkreis 3 + Warmwasser 3;Mischer Zeitprogramm 2;DPT_Switch;Out/In;-
100;Mischerkreis 3 + Warmwasser 3;Mischer Zeitprogramm 3;DPT_Switch;Out/In;-
101;Mischerkreis 3 + Warmwasser 3;Warmwasser Zeitprogramm 1;DPT_Switch;Out/In;-
102;Mischerkreis 3 + Warmwasser 3;Warmwasser Zeitprogramm 2;DPT_Switch;Out/In;-
103;Mischerkreis 3 + Warmwasser 3;Warmwasser Zeitprogramm 3;DPT_Switch;Out/In;-
104;Mischerkreis 3 + Warmwasser 3;Sollwertkorrektur;DPT_Value_Tempd;Out/In;K
105;Mischerkreis 3 + Warmwasser 3;Sparfaktor;DPT_Value_Tempd;Out/In;K
#
106;Kaskadenmodul;Störung;DPT_Switch;Out/-;-
107;Kaskadenmodul;Sammlertemperatur;DPT_Value_Temp;Out/-;°C
108;Kaskadenmodul;Gesamtmodulationsgrad;DPT_Scaling;Out/-;%
109;Kaskadenmodul;Vorlauftemperatur Mischerkreis;DPT_Value_Temp;Out/-;°C
110;Kaskadenmodul;Status Mischerkreispumpe;DPT_Switch;Out/-;-
111;Kaskadenmodul;Status Ausgang A1;DPT_Enable;Out/-;-
112;Kaskadenmodul;Eingang E1;DPT_Value_Temp;Out/-;°C
113;Kaskadenmodul;Eingang E2;DPT_Value_Temp;Out/-;°C
#
114;Mischermodul 1;Störung;DPT_Switch;Out/-;-
115;Mischermodul 1;Warmwassertemperatur;DPT_Value_Temp;Out/-;°C
116;Mischermodul 1;Vorlauftemperatur Mischerkreis;DPT_Value_Temp;Out/-;°C
117;Mischermodul 1;Status Mischerkreispumpe;DPT_Switch;Out/-;-
118;Mischermodul 1;Status Ausgang A1;DPT_Enable;Out/-;-
119;Mischermodul 1;Eingang E1;DPT_Value_Temp;Out/-;°C
120;Mischermodul 1;Eingang E2;DPT_Value_Temp;Out/-;°C
#
121;Mischermodul 2;Störung;DPT_Switch;Out/-;-
122;Mischermodul 2;Warmwassertemperatur;DPT_Value_Temp;Out/-;°C
123;Mischermodul 2;Vorlauftemperatur Mischerkreis;DPT_Value_Temp;Out/-;°C
124;Mischermodul 2;Status Mischerkreispumpe;DPT_Switch;Out/-;-
125;Mischermodul 2;Status Ausgang A1;DPT_Enable;Out/-;-
126;Mischermodul 2;Eingang E1;DPT_Value_Temp;Out/-;°C
127;Mischermodul 2;Eingang E2;DPT_Value_Temp;Out/-;°C
#
128;Mischermodul 3;Störung;DPT_Switch;Out/-;-
129;Mischermodul 3;Warmwassertemperatur;DPT_Value_Temp;Out/-;°C
130;Mischermodul 3;Vorlauftemperatur Mischerkreis;DPT_Value_Temp;Out/-;°C
